Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B163723,11/30/2016,"$63,500.00",4,1800 Block Of Lyon Street,94115,2,Pacific Heights,"37.787909628656, -122.445427072827"
B163720,11/29/2016,,,200 Block Of Francisco Street,94133,3,North Beach,"37.8051900870168, -122.409842938721"
B163721,11/29/2016,"$27,500.00",2,2200 Block Of California Street,94115,2,Pacific Heights,"37.7892741014174, -122.431384792446"
B163648,11/28/2016,,,600 Block Of South Van Ness Avenue,94110,9,Mission,"37.7627654068998, -122.417324660819"
B163649,11/28/2016,,,600 Block Of South Van Ness Avenue,94110,9,Mission,"37.7627654068998, -122.417324660819"
B163650,11/28/2016,,,600 Block Of South Van Ness Avenue,94110,9,Mission,"37.7627654068998, -122.417324660819"
B163653,11/28/2016,,,1500 Block Of Thomas Avenue,94124,10,Bayview Hunters Point,"37.7298378706792, -122.390394328728"
B163655,11/28/2016,"$35,040.00",2,1500 Block Of Lyon Street,94115,2,Presidio Heights,"37.7850741323861, -122.444993931198"
B163719,11/28/2016,,,1300 Block Of Hayes Street,94117,5,Hayes Valley,"37.7748308701528, -122.43862145209"
B163644,11/23/2016,,,2400 Block Of Harrison Street,94110,9,Mission,"37.7582329950088, -122.412355500569"
B163645,11/23/2016,,,300 Block Of Foote Avenue,94112,11,Outer Mission,"37.715542393815, -122.448480151968"
B163646,11/23/2016,"$3,000.00",1,0 Block Of Glover Street,94109,3,Nob Hill,"37.7971266872531, -122.416102200193"
B163647,11/23/2016,,,1400 Block Of Funston Avenue,94122,7,Inner Sunset,"37.7610583163561, -122.470330705499"
B163641,11/22/2016,,,200 Block Of Naples Street,94112,11,Excelsior,"37.7247095200648, -122.428200759746"
B163642,11/22/2016,,,200 Block Of Edinburgh Street,94112,11,Excelsior,"37.7250939364521, -122.429007828293"
B163643,11/22/2016,,,500 Block Of Wildwood Way,94112,7,West of Twin Peaks,"37.7275263405759, -122.461345809993"
B163637,11/21/2016,,,0 Block Of Williams Avenue,94124,10,Bayview Hunters Point,"37.7296096417128, -122.39467029669"
B163634,11/18/2016,"$70,000.00",2,900 Block Of York Street,94110,9,Mission,"37.7568487759054, -122.408644241138"
B163635,11/18/2016,,,1400 Block Of Church Street,94131,8,Noe Valley,"37.7480916393431, -122.427153088468"
B163636,11/18/2016,"$40,000.00",2,3400 Block Of 19th Street,94110,9,Mission,"37.7601573651083, -122.419585247274"
B163630,11/17/2016,,,300 Block Of Rolph Street,94112,11,Excelsior,"37.7131604298881, -122.435633085744"
B163631,11/17/2016,,,300 Block Of Rolph Street,94112,11,Excelsior,"37.7131604298881, -122.435633085744"
B163632,11/17/2016,,,0 Block Of 28th Street,94110,8,Noe Valley,"37.7454525102565, -122.42337327543"
B163633,11/17/2016,,,100 Block Of Chenery Street,94131,8,Glen Park,"37.7393585813997, -122.425613875581"
B163619,11/16/2016,,,800 Block Of South Van Ness Avenue,94110,9,Mission,"37.7595697861458, -122.416880162067"
B163620,11/16/2016,,,0 Block Of Vega Street,94115,2,Lone Mountain/USF,"37.7800157567663, -122.445872167414"
B163621,11/16/2016,,,0 Block Of Vega Street,94115,2,Lone Mountain/USF,"37.7800157567663, -122.445872167414"
B163628,11/16/2016,,,100 Block Of 27th Avenue,94121,2,Seacliff,"37.7865836557932, -122.487284964776"
B163629,11/16/2016,,,4100 Block Of 23rd Street,94114,8,Noe Valley,"37.7527706601683, -122.435341844853"
B163564,11/15/2016,,,0 Block Of Caine Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7173835688454, -122.450562511956"
