Date,Location
03/01/2017,"37.7346752560911, -122.494982314133"
04/26/2017,"37.7955932515805, -122.406495597141"
03/20/2017,"37.749965679105, -122.442719819909"
04/05/2017,"37.7303445743967, -122.395149263479"
03/10/2017,"37.8000315502895, -122.412037571242"
03/06/2017,"37.7513207353476, -122.401367141942"
03/24/2017,"37.7764454680264, -122.460797634842"
04/26/2017,"37.7955932515805, -122.406495597141"
03/03/2017,"37.7774997279424, -122.410999269254"
03/30/2017,"37.7849211330456, -122.41609739069"
04/24/2017,"37.7260272990841, -122.433862257894"
03/13/2017,"37.7150417604182, -122.441705850085"
03/06/2017,"37.7747364473793, -122.498248534396"
03/14/2017,"37.7983232154239, -122.411286922901"
03/14/2017,"37.7983232154239, -122.411286922901"
03/06/2017,"37.7738827777102, -122.442728169969"
03/24/2017,"37.7602025065087, -122.48971864964"
03/24/2017,"37.7702165879598, -122.423932587136"
04/03/2017,"37.7627433421788, -122.404384264978"
04/18/2017,"37.8032803608746, -122.408937098313"
04/21/2017,"37.7395952736116, -122.490427955786"
03/15/2017,"37.8012484336688, -122.407775929276"
03/06/2017,"37.7932350745624, -122.417915793413"
04/24/2017,"37.718276457526, -122.39162542811"
03/29/2017,"37.7301394311666, -122.432268894839"
04/03/2017,"37.8021635807448, -122.414518424685"
04/20/2017,"37.7559718105381, -122.408960920416"
04/21/2017,"37.7374368854785, -122.423574016781"
03/13/2017,"37.7550355107173, -122.412053590793"
03/28/2017,"37.787295292662, -122.415806128876"
03/24/2017,"37.7935066497641, -122.433922047772"
03/13/2017,"37.7848461900279, -122.458061463416"
03/20/2017,"37.8010398775523, -122.40484588837"
03/27/2017,"37.7079921829518, -122.460815041221"
04/25/2017,"37.7491771943318, -122.416788895073"
04/05/2017,"37.80058915907, -122.419397480983"
04/27/2017,"37.7140206449759, -122.437550489306"
04/21/2017,"37.7848461900279, -122.458061463416"
02/21/2017,"37.7523641675439, -122.436346592935"
03/10/2017,"37.7524211884142, -122.405338378316"
03/16/2017,"37.8010398775523, -122.40484588837"
03/29/2017,"37.7741999231877, -122.443568815382"
03/20/2017,"37.775708219246, -122.476966286063"
04/05/2017,"37.7840191581616, -122.461341037155"
03/03/2017,"37.7774997279424, -122.410999269254"
04/17/2017,"37.720124587971, -122.483106168792"
03/27/2017,"37.7737446918116, -122.478973407656"
03/01/2017,"37.7671355315937, -122.437743157864"
03/06/2017,"37.7333453278261, -122.483774152244"
04/18/2017,"37.7642361186929, -122.419659842202"
03/01/2017,"37.7321745849766, -122.427793514415"
03/10/2017,"37.7782835911436, -122.407449015525"
04/17/2017,"37.7784899479136, -122.498662035394"
03/27/2017,"37.7391711120654, -122.500060539582"
03/23/2017,"37.8055542733355, -122.410285576516"
04/10/2017,"37.7312794563625, -122.386266955922"
04/04/2017,"37.7549973324032, -122.42513365934"
03/20/2017,"37.729927376552, -122.390314136115"
04/18/2017,"37.7596276931347, -122.415923018478"
04/06/2017,"37.766893128304, -122.417102244119"
04/17/2017,"37.7310684925464, -122.401635563653"
03/08/2017,"37.7140533223028, -122.415121573743"
03/06/2017,"37.7932350745624, -122.417915793413"
03/27/2017,"37.7737446918116, -122.478973407656"
04/21/2017,"37.785139984158, -122.454627027514"
04/04/2017,"37.7793627339763, -122.459299894176"
03/31/2017,"37.7745831656304, -122.501599388072"
04/28/2017,"37.7600871872744, -122.428309267837"
03/24/2017,"37.7935066497641, -122.433922047772"
04/03/2017,"37.7615744435073, -122.451274100059"
